Date,Open,High,Low,Close,Adj Close,Volume
2023-11-01,9.840000,9.930000,9.760000,9.910000,9.910000,75469700
2023-11-02,10.020000,10.150000,9.970000,10.140000,10.140000,66914000
2023-11-03,10.260000,10.640000,10.250000,10.560000,10.560000,60846800
2023-11-06,10.560000,10.600000,10.240000,10.310000,10.310000,48435500
2023-11-07,10.250000,10.290000,10.050000,10.170000,10.170000,50430800
2023-11-08,10.190000,10.210000,10.030000,10.050000,10.050000,38700600
2023-11-09,10.040000,10.070000,9.690000,9.700000,9.700000,59356900
2023-11-10,9.810000,9.870000,9.670000,9.860000,9.860000,45069700
2023-11-13,9.830000,9.870000,9.740000,9.820000,9.820000,34458300
2023-11-14,9.990000,10.460000,9.980000,10.400000,10.400000,67684000
2023-11-15,10.410000,10.570000,10.390000,10.470000,10.470000,45193700
2023-11-16,10.400000,10.430000,10.100000,10.160000,10.160000,45408100
2023-11-17,10.260000,10.320000,10.190000,10.270000,10.270000,36501200
2023-11-20,10.290000,10.430000,10.260000,10.340000,10.340000,46933100
2023-11-21,10.280000,10.320000,10.100000,10.190000,10.190000,47284300
2023-11-22,10.240000,10.380000,10.170000,10.260000,10.260000,41116300
2023-11-24,10.280000,10.530000,10.280000,10.400000,10.400000,22028100
2023-11-27,10.370000,10.420000,10.300000,10.340000,10.340000,32247600
2023-11-28,10.330000,10.400000,10.240000,10.370000,10.370000,38510600
2023-11-29,10.880000,10.960000,10.560000,10.590000,10.590000,77246800
2023-11-30,10.680000,10.700000,10.180000,10.260000,10.260000,80525700
2023-12-01,10.290000,10.600000,10.220000,10.580000,10.580000,61567900
2023-12-04,10.520000,10.790000,10.500000,10.700000,10.700000,54196100
2023-12-05,10.640000,10.680000,10.540000,10.600000,10.600000,41551100
2023-12-06,10.750000,10.880000,10.670000,10.690000,10.690000,47223500
2023-12-07,10.710000,10.880000,10.680000,10.820000,10.820000,40523200
2023-12-08,10.810000,11.070000,10.790000,11.010000,11.010000,48934400
2023-12-11,11.020000,11.150000,10.980000,11.070000,11.070000,39700900
2023-12-12,11.090000,11.200000,11.050000,11.160000,11.160000,40206200
2023-12-13,11.030000,11.290000,10.800000,11.240000,11.240000,68066700
2023-12-14,11.470000,12.130000,11.470000,12.080000,12.080000,110777600
2023-12-15,12.070000,12.180000,11.930000,12.020000,12.020000,85271700
2023-12-18,11.990000,12.080000,11.910000,11.930000,11.930000,43424400
2023-12-19,11.970000,12.070000,11.890000,12.020000,12.020000,35722900
2023-12-20,11.970000,12.140000,11.790000,11.800000,11.800000,54981100
2023-12-21,11.930000,12.360000,11.900000,12.340000,12.340000,66424600
2023-12-22,12.320000,12.460000,12.280000,12.350000,12.350000,43718600
2023-12-26,12.390000,12.500000,12.370000,12.450000,12.450000,26293700
2023-12-27,12.430000,12.450000,12.230000,12.390000,12.390000,39891300
2023-12-28,12.380000,12.430000,12.280000,12.340000,12.340000,26688500
2023-12-29,12.350000,12.390000,12.160000,12.190000,12.190000,40902400
2024-01-02,12.040000,12.380000,11.940000,12.160000,12.160000,47494800
2024-01-03,12.020000,12.030000,11.640000,11.710000,11.710000,70120100
2024-01-04,11.760000,11.820000,11.630000,11.680000,11.680000,54920300
2024-01-05,11.650000,12.040000,11.630000,11.850000,11.850000,44409300
2024-01-08,11.850000,12.050000,11.790000,11.970000,11.970000,41514400
2024-01-09,11.810000,11.900000,11.770000,11.840000,11.840000,49536700
2024-01-10,11.830000,11.860000,11.710000,11.830000,11.830000,37539200
2024-01-11,11.750000,11.770000,11.570000,11.710000,11.710000,48692000
2024-01-12,11.650000,11.770000,11.410000,11.460000,11.460000,55017300
2024-01-16,11.300000,11.500000,11.180000,11.460000,11.460000,45207700
2024-01-17,11.170000,11.310000,11.110000,11.270000,11.270000,52671300
2024-01-18,11.250000,11.310000,10.960000,10.990000,10.990000,71667200
2024-01-19,10.940000,11.220000,10.830000,11.200000,11.200000,61071900
2024-01-22,11.230000,11.400000,11.140000,11.200000,11.200000,45479600
2024-01-23,11.360000,11.460000,11.240000,11.370000,11.370000,45465200
2024-01-24,11.440000,11.450000,11.000000,11.030000,11.030000,59064600
2024-01-25,11.090000,11.360000,11.030000,11.340000,11.340000,49356700
2024-01-26,11.400000,11.500000,11.300000,11.390000,11.390000,35790300
2024-01-29,11.380000,11.560000,11.300000,11.550000,11.550000,58249600
2024-01-30,11.770000,11.870000,11.620000,11.780000,11.780000,70213300
2024-01-31,11.760000,11.990000,11.720000,11.720000,11.720000,74486700
